"","NSC","NAME","FDA_STATUS","MOA","PUBCHEM_ID","SMILES","TOTAL_EXPS","TOTAL_EXPS_AFTER_QC"
"3618",3618,"4-N-(7-Chloroquinolin-4-yl)-1-N-cyclohexylcyclohexane-1,4-diamine","","",220625,"Clc1ccc2c(NC3CCC(CC3)NC4CCCCC4)ccnc2c1",1,1
"3628",3628,"",NA,NA,NA,"CCN(CC)c1ccc(NC(C(=O)c2ccccc2)c3ccccc3)cc1",1,1
"3799",3799,"AI3-08904","","",6436750,"[O-][N+](=O)c1cccc(\C=C\C(=O)\C=C\c2cccc(c2)[N+](=O)[O-])c1",1,1
"3808",3808,"2,4-dinitrobromobenzene","","",11441,"[O-][N+](=O)c1ccc(Br)c(c1)[N+](=O)[O-]",2,2
"3840",3840,"Chloro-(5-chlorothiophen-2-yl)mercury","","",407288,"Cl[Hg]c1ccc(Cl)s1",2,2
"3847",3847,"1-(5-Bromo-4-nitrothiophen-2-yl)propan-1-one","","",220712,"CCC(=O)c1cc(c(Br)s1)[N+](=O)[O-]",1,1
"3852",3852,"Hydron III","","",19103,"Oc1ccc(N=O)c2cccnc12",2,2
"3877",3877,"",NA,NA,NA,"c1cc[n+](cc1)C2c3ccccc3C(c4ccccc24)[n+]5ccccc5",2,2
"3905",3905,"tripyridyl",NA,NA,NA,"c1ccc(nc1)c2cccc(n2)c3ccccn3",1,1
"3907",3907,"Benzoic acid, 2-hydroxy-, compd. with 8-quinolinol (1:1)...","","",142766,"Oc1cccc2cccnc12",2,2
"3927",3927,"thiolutin","","",6870,"CN1C(=O)C(=C2SSC=C12)NC(=O)C",2,1
"3941",3941,"",NA,NA,NA,"C\C(=C/c1ccc(Cl)c(Cl)c1)\[N+](=O)[O-]",1,1
"3970",3970,"pyrod",NA,NA,NA,"O=C1NC=CC(=O)N1",5,2
"4045",4045,"auramin",NA,NA,NA,"CN(C)c1ccc(cc1)C(=N)c2ccc(cc2)N(C)C",1,1
"4060",4060,"urson","","",64945,"CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C2C1C)C(=O)O",1,1
"4112",4112,"Fenticlor",NA,NA,NA,"Oc1ccc(Cl)cc1Sc2cc(Cl)ccc2O",1,1
"4114",4114,"Morpholine-N-dithiocarbamate","","",72675,"SC(=S)N1CCOCC1",4,2
"4170",4170,"kipca",NA,NA,NA,"CC1=CC(=O)c2ccccc2C1=O",2,1
"4184",4184,"p,p'-Dihydroxystilbene","","",5282363,"Oc1ccc(\C=C\c2ccc(O)cc2)cc1",2,2
"4232",4232,"3-[(2-Oxo-1,2-diphenylethyl)amino]benzoic acid","","",220828,"OC(=O)c1cccc(NC(C(=O)c2ccccc2)c3ccccc3)c1",1,1
"4236",4236,"4m2o","","",668053,"CN(C)c1ccc(\C=C\c2ccnc3ccccc23)cc1",2,2
"4238",4238,"2m2m",NA,NA,NA,"CN(C)c1ccc(\C=C\c2ccc3ccccc3[n+]2C)cc1",1,1
"4239",4239,"4m2m",NA,NA,NA,"CN(C)c1ccc(\C=C\c2cc[n+](C)c3ccccc23)cc1",2,2
"4265",4265,"Phenanthroline hydrochloride",NA,NA,NA,"c1cnc2c(c1)ccc3cccnc23",2,2
"4272",4272,"5-methylphenanthroline","","",72791,"Cc1cc2cccnc2c3ncccc13",1,1
"4280",4280,"neocuproin","","",65237,"Cc1ccc2ccc3ccc(C)nc3c2n1",2,2
"4281",4281,"4,7-Dimethyl-o-phenanthroline","","",72792,"Cc1ccnc2c1ccc3c(C)ccnc23",1,1
"4285",4285,"STK862428","","",14161,"ClC1=C(Nc2ccccc2)C(=O)c3ccccc3C1=O",1,1
"4290",4290,"1-[2-(4-Nitrophenyl)-2-oxoethyl]-4-pentylpyridin-1-ium bromide","","",24181037,"CCCCCc1cc[n+](CC(=O)c2ccc(cc2)[N+](=O)[O-])cc1",1,1
"4291",4291,"Masoprocol",NA,NA,NA,"CC(Cc1ccc(O)c(O)c1)C(C)Cc2ccc(O)c(O)c2",2,2
"4320",4320,"strophanthin",NA,NA,NA,"COC1CC(OC2CCC3(C=O)C4CCC5(C)C(CCC5(O)C4CCC3(O)C2)C6=CC(=O)OC6)OC(C)C1OC7OC(CO)C(O)C(O)C7O",3,1
"4375",4375,"Hydroxychloroquine Sulfate","","Immunomodulatory",NA,"CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12",1,1
"4378",4378,"1-[7-Chloro-2-(4-chlorophenyl)quinolin-4-yl]-2-(diethylamino)ethanol;hydrochloride","","",24181064,"CCN(CC)CC(O)c1cc(nc2cc(Cl)ccc12)c3ccc(Cl)cc3",2,1
"4432",4432,"genacryl pink g","","",6433371,"CN(CCCl)c1ccc(\C=C\C2=[N+](C)c3ccccc3C2(C)C)cc1",1,1
"4434",4434,"nabor orange r",NA,NA,NA,"C[N+]1=C(\C=C\c2c(c3ccccc3)n(C)c4ccccc24)C(C)(C)c5ccccc15",2,2
"4483",4483,"omadine sodium",NA,NA,NA,"[O-][n+]1ccccc1S",1,1
"4512",4512,"2-Iodo-3-(phenylsulfonyl)propanenitrile","","",220946,"IC(CS(=O)(=O)c1ccccc1)C#N",1,1
"4518",4518,"Bis(4-amino-3-bromophenyl)methanone","","",220951,"Nc1ccc(cc1Br)C(=O)c2ccc(N)c(Br)c2",2,2
"4582",4582,"(1Z,4E)-1,5-Bis(5-bromo-2-hydroxyphenyl)penta-1,4-dien-3-one","","",54603154,"Oc1ccc(Br)cc1\C=C\C(=O)\C=C\c2cc(Br)ccc2O",1,1
"4623",4623,"1H-Imidazole-4,5-dicarboxylic acid, 2-phenyl- (9CI)","","",221007,"OC(=O)c1nc([nH]c1C(=O)O)c2ccccc2",2,2
"4644",4644,"Betulin",NA,NA,NA,"CC(=C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C12",1,1
"4681",4681,"2-[4-(Carboxymethoxy)phenoxy]acetic acid","","",24181093,"OC(=O)COc1ccc(OCC(=O)O)cc1",1,1
"4698",4698,"",NA,NA,NA,"CC(C)c1cc(SC#N)c(C)cc1O",1,1
"4722",4722,"aloin","","",221037,"OCc1cc(OCC(O)C(O)C(O)C=O)c2C(=O)c3ccccc3C(=O)c2c1",4,1
"4728",4728,"Aminothiadiazole","","",19909,"Nc1nncs1",10,3
"4810",4810,"",NA,NA,NA,"[O-][N+](=O)c1ccc(N\N=C\2/C(=O)Nc3ccccc23)c(c1)[N+](=O)[O-]",1,1
"4844",4844,"N-Benzyl-N,N-dimethylhexadecan-1-aminium hexafluorophosphate","","",24181101,"CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1",1,1
"4857",4857,"dedc",NA,NA,NA,"[Na+].CCN(CC)C(=S)S",2,1
"4896",4896,"quinalizarin",NA,NA,NA,"Oc1ccc2C(=O)c3c(O)ccc(O)c3C(=O)c2c1O",1,1
"4911",4911,"Thioinosine",NA,NA,NA,"OCC1OC(C(O)C1O)n2cnc3C(=S)N=CNc23",2,2
"4962",4962,"p-Toluhydroquinol",NA,NA,NA,"Cc1cc(O)ccc1O",1,1
"4972",4972,"tbhq","","",16043,"CC(C)(C)c1cc(O)ccc1O",3,2
"5006",5006,"C.I. 42510 acetate",NA,NA,NA,"Cc1cc(ccc1N)C(=C2C=CC(=N)C=C2)c3ccc(N)cc3",1,1
"5011",5011,"Brilliant Green",NA,NA,NA,"CCN(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3",1,1
"5019",5019,"violet bnp",NA,NA,NA,"CCN(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)Cc3cccc(c3)S(=O)(=O)O)C=C2)c4ccc(cc4)N(CC)Cc5cccc(c5)S(=O)(=O)O",2,2
"5031",5031,"D-Glucopyranose, pentakis[3,4-dihydroxy-5-[(3,4,5-trihyd...","","",16129878,"Oc1cc(cc(O)c1O)C(=O)Oc2cc(cc(O)c2O)C(=O)OCC3OC(OC(=O)c4cc(O)c(O)c(OC(=O)c5cc(O)c(O)c(O)c5)c4)C(OC(=O)c6cc(O)c(O)c(OC(=O)c7cc(O)c(O)c(O)c7)c6)C(OC(=O)c8cc(O)c(O)c(OC(=O)c9cc(O)c(O)c(O)c9)c8)C3OC(=O)c%10cc(O)c(O)c(OC(=O)c%11cc(O)c(O)c(O)c%11)c%10",1,1
"5048",5048,"magneson ii","","",79174,"Oc1ccc(N=Nc2ccc(cc2)[N+](=O)[O-])c3ccccc13",1,1
"5053",5053,"tptz","","",9283,"c1ccc(cc1)c2n[n+](c3ccccc3)n(n2)c4ccccc4",2,2
"5062",5062,"allyliodourotropine",NA,NA,NA,"C=CC[N+]12CN3CN(CN(C3)C1)C2",1,1
"5066",5066,"2,4-Dihydroxy-6-methyl-4'-nitroazobenzene","","",69095,"Cc1cc(O)cc(O)c1N=Nc2ccc(cc2)[N+](=O)[O-]",1,1
"5113",5113,"POMIFERIN","","",4871,"CC(=CCc1c(O)c2C(=O)C(=COc2c3C=CC(C)(C)Oc13)c4ccc(O)c(O)c4)C",2,2
"5159",5159,"chartreusin",NA,NA,NA,"COC1C(O)C(C)OC(OC2C(Oc3cccc4c(O)c5C(=O)Oc6ccc(C)c7C(=O)Oc(c5c67)c34)OC(C)C(O)C2O)C1O",8,5
"5192",5192,"5,6-Chrysenedione","","",16317,"O=C1C(=O)c2c(ccc3ccccc23)c4ccccc14",1,1
"5200",5200,"py 40","","",135403411,"NC1=NC(=O)C(=C(N)N1)N=Nc2ccccc2",1,1
"5206",5206,"1-(3-Bromophenyl)-2-undecyl-2H-1,3,5-triazine-4,6-diamine hydrochloride","","",24181145,"CCCCCCCCCCCC1N=C(N)N=C(N)N1c2cccc(Br)c2",2,2
"5278",5278,"olpizan","","",17584,"[O-][N+](=O)c1cc(Cl)c(Cl)c(c1Cl)[N+](=O)[O-]",1,1
"5283",5283,"chlorotriethyltin","","",13820,"CC[Sn](Cl)(CC)CC",1,1
"5332",5332,"pan (van)","","",6825,"Oc1ccc2ccccc2c1N=Nc3ccccn3",2,2
"5337",5337,"vancide 26","","",79411,"CCCCCCCCCCCC[n+]1ccccc1.Clc2ccc3SC(=S)[N-]c3c2",2,2
"5347",5347,"(o-carboxyphenylthio)acetic acid",NA,NA,NA,"OC(=O)CSc1ccccc1C(=O)O",1,1
"5355",5355,"Berberal",NA,NA,NA,"COc1ccc2cc3c4cc5OCOc5cc4CC[n+]3cc2c1OC",2,2
"5364",5364,"cinchonidine",NA,NA,NA,"OC(C1CC2CCN1CC2C=C)c3ccnc4ccccc34",1,1
"5366",5366,"Noscapine",NA,NA,NA,"COc1ccc2[C@H](OC(=O)c2c1OC)[C@@H]3N(C)CCc4cc5OCOc5c(OC)c34",1,1
"5417",5417,"1-Naphthalenol, 4-nitroso- (9CI)",NA,NA,NA,"Oc1ccc(N=O)c2ccccc12",1,1
"5418",5418,"p-Nitroso-N,N-diethylaniline","","",67115,"CCN(CC)c1ccc(cc1)N=O",1,1
"5425",5425,"9,10-Phenanthrenedione, 2-nitro- (9CI)",NA,NA,NA,"[O-][N+](=O)c1ccc2c(c1)C(=O)C(=O)c3ccccc23",1,1
"5485",5485,"1,3-Bis(7-chloroquinolin-4-ylamino)propan-2-ol","","",221231,"OC(CNc1ccnc2cc(Cl)ccc12)CNc3ccnc4cc(Cl)ccc34",1,1
"5491",5491,"Ethyl red",NA,NA,NA,"CCN1C=C\C(=C/c2ccc3ccccc3[n+]2CC)\c4ccccc14",1,1
"5550",5550,"Malachite green oxalate","","",407450,"CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3.CN(C)c4ccc(cc4)C(=C5C=CC(=[N+](C)C)C=C5)c6ccccc6.OC(=O)C(=O)O.[O-]C(=O)C(=O)[O-]",4,2
"5551",5551,"wln: t b566 ck esj c1 d1u1r dn1&1 &i","","",6433478,"CN(C)c1ccc(\C=C\c2sc3ccc4ccccc4c3[n+]2C)cc1",2,1
"5620",5620,"2,2'-(2-Oxo-3,4-dihydro-2h-1,4-benzothiazine-3,3-diyl)diacetic acid","","",221258,"OC(=O)CC1(CC(=O)O)Nc2ccccc2SC1=O",1,1
"5639",5639,"phenylbenzophenone","","",407452,"O=C(c1ccccc1)c2ccccc2c3ccccc3",1,1
"5648",5648,"thonzide",NA,NA,NA,"CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c2ncccn2",2,1
"5703",5703,"5-(3,4,5-Trimethoxyphenyl)[1,3]dioxolo[4,5-g]isoquinoline","","",221307,"COc1cc(cc(OC)c1OC)c2nccc3cc4OCOc4cc23",1,1
"5705",5705,"Methyl 8-hydroxy-5-(3,4,5-trimethoxyphenyl)benzo[f][1,3]benzodioxole-6-carboxylate","","",221309,"COC(=O)c1cc(O)c2cc3OCOc3cc2c1c4cc(OC)c(OC)c(OC)c4",1,1
"5816",5816,"wln: gr dmyus&mvr","","",701011,"Clc1ccc(NC(=S)NC(=O)c2ccccc2)cc1",2,1
"5889",5889,"l-Usnic acid",NA,NA,NA,"CC(=O)C1C(=O)C=C2Oc3c(C(=O)C)c(O)c(C)c(O)c3C2(C)C1=O",5,2
"5890",5890,"D-Usnic acid",NA,NA,NA,"CC(=O)C1C(=O)C=C2Oc3c(C(=O)C)c(O)c(C)c(O)c3C2(C)C1=O",5,2
"5896",5896,"Sodium;5-[(6-methoxyquinolin-8-yl)diazenyl]quinolin-8-ol","","",135436503,"COc1cc(N=Nc2ccc(O)c3ncccc23)c4ncccc4c1",1,1
"5907",5907,"Acetic acid;6-methoxy-4-[(E)-2-(6-methoxyquinolin-4-yl)ethenyl]quinoline","","",16682406,"COc1ccc2nccc(\C=C\c3ccnc4ccc(OC)cc34)c2c1",2,1
"5908",5908,"9-(6-Methoxy-3,4-dihydro-2H-quinolin-1-yl)acridine","","",221375,"COc1ccc2N(CCCc2c1)c3c4ccccc4nc5ccccc35",1,1
"5920",5920,"4-[[4-(Dimethylamino)phenyl]methyl]-6-[(6-methoxyquinolin-8-yl)diazenyl]-1-N,1-N-dimethylbenzene-1,3-diamine","","",407487,"COc1cc(N=Nc2cc(Cc3ccc(cc3)N(C)C)c(N)cc2N(C)C)c4ncccc4c1",1,1
"6145",6145,"1,2-Dibenzoylbenzene","","",70875,"O=C(c1ccccc1)c2ccccc2C(=O)c3ccccc3",1,1
"6152",6152,"Chrysarobin",NA,NA,NA,"Cc1cc(O)c2cc3c(O)c(O)ccc3cc2c1",2,2
"6171",6171,"cineol",NA,NA,NA,"CC12CCC(CC1)C(C)(C)O2",6,3
"6176",6176,"cinchonine",NA,NA,NA,"O[C@H]([C@H]1C[C@@H]2CCN1C[C@@H]2C=C)c3ccnc4ccccc34",1,1
"6266",6266,"dibenzoylmethane","","",8433,"O=C(CC(=O)c1ccccc1)c2ccccc2",1,1
"6278",6278,"2-aminonaphthiazole","","",94880,"Nc1nc2c(ccc3ccccc23)s1",1,1
"6386",6386,"bialamicol",NA,NA,NA,"CCN(CC)Cc1cc(cc(CC=C)c1O)c2cc(CC=C)c(O)c(CN(CC)CC)c2",4,2
"6396",6396,"Thiotepa","FDA approved","A7|AlkAg",NA,"S=P(N1CC1)(N2CC2)N3CC3",136,114
"6477",6477,"nf 23","","",899314,"CCOC(=O)\C=C\c1oc(cc1)[N+](=O)[O-]",1,1
"6777",6777,"ALBB-024793","","",221765,"[O-][N+](=O)c1cc(Br)cc2c3cc(Br)ccc3[nH]c12",1,1
"6814",6814,"erucic acid",NA,NA,NA,"CCCCCCCC\C=C/CCCCCCCCCCCC(=O)O",5,1
