NSC,MECHANISM
112846,Other
112849,Other
112929,Other
112938,Other
112965,Other
113053,Other
113112,Other
113130,Other
113136,Other
113220,Other
113237,Other
113423,Other
113452,Other
113455,Other
113497,Other
113764,Other
113802,Other
113908,Other
113918,Other
113926,Other
113943,Other
113951,Other
114016,Other
11420,Other
114340,Other
114341,Other
114345,Other
114346,Other
114381,Other
114382,Other
114384,Other
114512,Other
114514,Other
11452,Other
114567,Other
114568,Other
114570,Other
114572,Other
114575,Other
11461,Other
114696,Other
114766,Other
114781,Other
11511,Other
115447,Other
115497,Other
115526,Other
115610,Other
115618,Other
115625,Other
115684,Other
115712,Other
115855,Other
115892,Other
11590,Other
115905,Other
115928,Other
115980,Other
11624,Other
116280,Other
116282,Other
116336,Other
116491,Other
116535,Other
116536,Other
116555,Other
116590,Other
11663,Other
116640,Other
116661,Other
11667,Other
11668,Other
116689,Other
116692,Other
116693,Other
116702,Other
116716,Other
116717,Other
116758,Other
117011,Other
117015,Other
117017,Other
117024,Other
117028,Other
11713,Other
117181,Other
117185,Other
57958,Other
117187,Other
117188,Other
117191,Other
117192,Other
117194,Other
117196,Other
117199,Other
117212,Other
117222,Other
117232,Other
117269,Other
117271,Other
117274,Other
117281,Other
117285,Other
117356,Other
117614,Other
117619,Other
11773,Other
117739,Other
117915,Other
117917,Other
117949,Other
118028,Other
118030,Other
118051,Other
118087,Other
118090,Other
118095,Other
118097,Other
118176,Other
59276,Other
11841,Other
118516,Other
118695,Other
118732,Other
118742,Other
118767,Other
11881,Other
118836,Other
11897,Other
118976,Other
59994,Other
11905,Other
119236,Other
11926,Other
119621,Other
11963,Other
11969,Other
119754,Other
11981,Other
600221,Other
119889,Other
1199,Other
11991,Other
119910,Other
119913,Other
119915,Other
120050,Other
120186,Other
120288,Other
120634,Other
120672,Other
120925,Other
120958,Other
12097,Other
121073,Other
121129,Other
12113,Other
121139,Other
121145,Other
121155,Other
121182,Other
121208,Other
121210,Other
12129,Other
121322,Other
12150,Other
12161,Other
121713,Other
12174,Other
121754,Other
121771,Other
12181,Other
121848,Other
121868,Other
121934,Other
601363,Other
122023,Other
122060,Other
122131,Other
122226,Other
122263,Other
122291,Other
122415,Other
122621,Other
122656,Other
122657,Other
122716,Other
122750,Other
602066,Other
122759,Other
602077,Other
122822,Other
122864,Other
122870,Other
123032,Other
123111,Other
123115,Other
602617,Other
123138,Other
123139,Other
123140,Other
123147,Other
123383,Other
123399,Other
123461,Other
123463,Other
123465,Other
123468,Other
123469,Other
123491,Other
123493,Other
123511,Other
123516,Other
123528,Other
123529,Other
123794,Other
123814,Other
123829,Other
123994,Other
124147,Other
124202,Other
124232,Other
603624,Other
124499,Other
12455,Other
124664,Other
124749,Other
124764,Other
124770,Other
124784,Other
124994,Other
125034,Other
604558,Other
12516,Other
12517,Other
125176,Other
125201,Other
125347,Other
125348,Other
125511,Other
125541,Other
125552,Other
125844,Other
125845,Other
605756,Other
126217,Other
126228,Other
12650,Other
126668,Other
126710,Other
126719,Other
126727,Other
126728,Other
126765,Other
606195,Other
126849,Other
126933,Other
127128,Other
127130,Other
127140,Other
127157,Other
127159,Other
127328,Other
127442,Other
127444,Other
127445,Other
127471,Other
127571,Other
127622,Other
127627,Other
127680,Other
127687,Other
127712,Other
607173,Other
127752,Other
127753,Other
127754,Other
127755,Other
127763,Other
127923,Other
128177,Other
128184,Other
128186,Other
128187,Other
128206,Other
12825,Other
128280,Other
128305,Other
128403,Other
128571,Other
128578,Other
128579,Other
128580,Other
128635,Other
12865,Other
128687,Other
128832,Other
128877,Other
128887,Other
128895,Other
128981,Other
129152,Other
129185,Other
129220,Other
129266,Other
129408,Other
129409,Other
129414,Other
129518,Other
129585,Other
12969,Other
129757,Other
129790,Other
129794,Other
129922,Other
129925,Other
129943,Other
129957,Other
13002,Other
13003,Other
13006,Other
130227,Other
130279,Other
13051,Other
13052,Other
13055,Other
130785,Other
130789,Other
130796,Other
130801,Other
130813,Other
130830,Other
130862,Other
130876,Other
131020,Other
131053,Other
131064,Other
131184,Other
13119,Other
131233,Other
131238,Other
131250,Other
131257,Other
131258,Other
131261,Other
131262,Other
131263,Other
13128,Other
13151,Other
131513,Other
131530,Other
131547,Other
13162,Other
131734,Other
131888,Other
131919,Other
131943,Other
131977,Other
13204,Other
132095,Other
132125,Other
132230,Other
132275,Other
132276,Other
132277,Other
132279,Other
613729,Other
13239,Other
13248,Other
613799,Other
132492,Other
132493,Other
13275,Other
132791,Other
132868,Other
13300,Other
13307,Other
133071,Other
133072,Other
133100,Other
133115,Other
133118,Other
133119,Other
13314,Other
13316,Other
13317,Other
13318,Other
133479,Other
133497,Other
133729,Other
133757,Other
13378,Other
1338,Other
13380,Other
133896,Other
13397,Other
615296,Other
134134,Other
134138,Other
134148,Other
134228,Other
134244,Other
134250,Other
134390,Other
134459,Other
134544,Other
134664,Other
134672,Other
615580,Other
134723,Other
134725,Other
615604,Other
134754,Other
134755,Other
13477,Other
13479,Other
13480,Other
13483,Other
13484,Other
134981,Other
135015,Other
13502,Other
135021,Other
135037,Other
135048,Other
135070,Other
135073,Other
135168,Other
135371,Other
135734,Other
135757,Other
616355,Other
135854,Other
135880,Other
135925,Other
135929,Other
135962,Other
13597,Other
135975,Other
13598,Other
136036,Other
136037,Other
136044,Other
13616,Other
13625,Other
136268,Other
136274,Other
13628,Other
136468,Other
136469,Other
136513,Other
136592,Other
136704,Other
136705,Other
136718,Other
136720,Other
136722,Other
136768,Other
136955,Other
13699,Other
137044,Other
137049,Other
137055,Other
13713,Other
13724,Other
137443,Other
137633,Other
137635,Other
137679,Other
137765,Other
13801,Other
138144,Other
13831,Other
138320,Other
138333,Other
13835,Other
138389,Other
138425,Other
138429,Other
138756,Other
138780,Other
617566,Other
617567,Other
139021,Other
139049,Other
617570,Other
139109,Other
139235,Other
139240,Other
1393,Other
139346,Other
139484,Other
139490,Other
139727,Other
13973,Other
13977,Other
13981,Other
13984,Other
13986,Other
139948,Other
140025,Other
14006,Other
14009,Other
14022,Other
14034,Other
140364,Other
140377,Other
140380,Other
14040,Other
14050,Other
140701,Other
14071,Other
14073,Other
14079,Other
140873,Other
140911,Other
141046,Other
141057,Other
141103,Other
141257,Other
141313,Other
141350,Other
141351,Other
141523,Other
141527,Other
141537,Other
141538,Other
141539,Other
617826,Other
141545,Other
617846,Other
141562,Other
617931,Other
141634,Other
14186,Other
142053,Other
142055,Other
142226,Other
142227,Other
142269,Other
617956,Other
142475,Other
142480,Other
142493,Other
142543,Other
142587,Other
143019,Other
617964,Other
143093,Other
617966,Other
143099,Other
143102,Other
143103,Other
143106,Other
143108,Other
143147,Other
143241,Other
1433,Other
143342,Other
143343,Other
143346,Other
143471,Other
143491,Other
143532,Other
143647,Other
143648,Other
143677,Other
14380,Other
144033,Other
144054,Other
144055,Other
144126,Other
144152,Other
144153,Other
144163,Other
144168,Other
144173,Other
144177,Other
144198,Other
144295,Other
144302,Other
144303,Other
144310,Other
144470,Other
144694,Other
144698,Other
144872,Other
144988,Other
145016,Other
145150,Other
145168,Other
145219,Other
14548,Other
145611,Other
618272,Other
145669,Other
145801,Other
145904,Other
1460,Other
146067,Other
146109,Other
618315,Other
146267,Other
146268,Other
146374,Other
146377,Other
146396,Other
146397,Other
146557,Other
14657,Other
14659,Other
146604,Other
14666,Other
146769,Other
146771,Other
146848,Other
146865,Other
14711,Other
14741,Other
147811,Other
148077,Other
148180,Other
1482,Other
148290,Other
148339,Other
148484,Other
148596,Other
14864,Other
148823,Other
618757,Other
149286,Other
149501,Other
149583,Other
149584,Other
149585,Other
149692,Other
14973,Other
14974,Other
14975,Other
149765,Other
14977,Other
149849,Other
149967,Other
150014,Other
150080,Other
150094,Other
150117,Other
15013,Other
150169,Other
150220,Other
150289,Other
150290,Other
150311,Other
150347,Other
150412,Other
150432,Other
150440,Other
150446,Other
150527,Other
150554,Other
150555,Other
1507,Other
15078,Other
150837,Other
150862,Other
150982,Other
151060,Other
151224,Other
151247,Other
151655,Other
151888,Other
15193,Other
151980,Other
151982,Other
15200,Other
152731,Other
15309,Other
153175,Other
153325,Other
153330,Other
650594,Other
153533,Other
153582,Other
153625,Other
15372,Other
619311,Other
154020,Other
154318,Other
154572,Other
154652,Other
154751,Other
154756,Other
154829,Other
154890,Other
154896,Other
619688,Other
154966,Other
155556,Other
155594,Other
155595,Other
155619,Other
155693,Other
155694,Other
15609,Other
156215,Other
156218,Other
15623,Other
156265,Other
15628,Other
156302,Other
619946,Other
156305,Other
156306,Other
156310,Other
156311,Other
156526,Other
156529,Other
156565,Other
156625,Other
156939,Other
157004,Other
620124,Other
157073,Other
157307,Other
157365,Other
157371,Other
157381,Other
157382,Other
157387,Other
157388,Other
157389,Other
157469,Other
157487,Other
157725,Other
157839,Other
15785,Other
15791,Other
157930,Other
15795,Other
157995,Other
158036,Other
158088,Other
15812,Other
15813,Other
158263,Other
15830,Other
158362,Other
158382,Other
158383,Other
158388,Other
158389,Other
158390,Other
158391,Other
158399,Other
15886,Other
158901,Other
159228,Other
159242,Other
159628,Other
159630,Other
159631,Other
15975,Other
159862,Other
159935,Other
160121,Other
160127,Other
160319,Other
16034,Other
161128,Other
16116,Other
16165,Other
16166,Other
162047,Other
162062,Other
162083,Other
16219,Other
162215,Other
16222,Other
16239,Other
162404,Other
16258,Other
162675,Other
162700,Other
162887,Other
163027,Other
163039,Other
163055,Other
163059,Other
163062,Other
163088,Other
163138,Other
163376,Other
163424,Other
163443,Other
163482,Other
621476,Other
163664,Other
163910,Other
163949,Other
621631,Other
164017,Other
164018,Other
164371,Other
164850,Other
164878,Other
164914,Other
164932,Other
164970,Other
164981,Other
164991,Other
16520,Other
165260,Other
165528,Other
165563,Other
165572,Other
165604,Other
165707,Other
165714,Other
165715,Other
165757,Other
165897,Other
166130,Other
166199,Other
166224,Other
166237,Other
166291,Other
166366,Other
166381,Other
166382,Other
166395,Other
166454,Other
166576,Other
166588,Other
166616,Other
166624,Other
166637,Other
166638,Other
166641,Other
166675,Other
166679,Other
16685,Other
167063,Other
167249,Other
167268,Other
16729,Other
167406,Other
167452,Other
167483,Other
167550,Other
622300,Other
167781,Other
168221,Other
168225,Other
168411,Other
168415,Other
168418,Other
168466,Other
168467,Other
168468,Other
168470,Other
168516,Other
168597,Other
16865,Other
16876,Other
168905,Other
169091,Other
169434,Other
169453,Other
169466,Other
169471,Other
169517,Other
169534,Other
169688,Other
169716,Other
169774,Other
169779,Other
622463,Other
169930,Other
169936,Other
17,Other
170006,Other
170105,Other
170365,Other
17061,Other
17065,Other
170669,Other
170896,Other
170983,Other
622578,Other
170992,Other
171111,Other
171259,Other
171303,Other
172033,Other
622589,Other
17245,Other
17257,Other
172599,Other
172614,Other
17273,Other
17275,Other
172774,Other
172924,Other
172946,Other
173046,Other
173516,Other
173552,Other
173778,Other
173904,Other
173905,Other
173931,Other
174005,Other
174030,Other
174119,Other
622646,Other
174137,Other
174163,Other
174176,Other
174177,Other
174218,Other
174280,Other
174518,Other
174589,Other
17473,Other
174804,Other
174892,Other
174894,Other
174923,Other
622689,Other
174940,Other
174941,Other
175074,Other
175150,Other
175151,Other
175202,Other
175203,Other
175274,Other
175377,Other
175490,Other
175493,Other
17551,Other
175630,Other
175633,Other
175634,Other
175635,Other
175636,Other
175637,Other
175639,Other
175996,Other
1760,Other
176098,Other
176245,Other
622930,Other
176324,Other
176326,Other
176327,Other
176328,Other
176367,Other
176368,Other
176371,Other
176373,Other
176389,Other
176392,Other
17647,Other
176503,Other
176507,Other
17652,Other
176555,Other
176632,Other
176655,Other
176656,Other
176804,Other
176878,Other
1771,Other
177365,Other
177377,Other
177378,Other
177382,Other
177383,Other
177391,Other
177407,Other
17744,Other
177499,Other
17759,Other
17762,Other
177697,Other
177845,Other
177851,Other
177881,Other
177989,Other
178002,Other
178010,Other
178123,Other
623283,Other
178249,Other
178260,Other
178262,Other
178264,Other
178296,Other
178847,Other
179074,Other
179187,Other
179201,Other
179207,Other
179220,Other
179365,Other
179485,Other
179496,Other
1797,Other
179834,Other
179940,Other
179945,Other
180198,Other
180260,Other
180510,Other
180525,Other
180966,Other
623637,Other
181099,Other
181486,Other
181500,Other
182855,Other
18286,Other
18298,Other
623723,Other
18300,Other
18335,Other
184398,Other
184403,Other
18451,Other
18460,Other
623765,Other
184734,Other
184849,Other
185,Other
185042,Other
185049,Other
185054,Other
185055,Other
185056,Other
185057,Other
185060,Other
185062,Other
185065,Other
185169,Other
18613,Other
186266,Other
623919,Other
186945,Other
18719,Other
18727,Other
187546,Other
18758,Other
187675,Other
187694,Other
18804,Other
18805,Other
188491,Other
188493,Other
18877,Other
18880,Other
18883,Other
18891,Other
18894,Other
189487,Other
624053,Other
189793,Other
19048,Other
1906,Other
1910,Other
191384,Other
19139,Other
191390,Other
19147,Other
191909,Other
191924,Other
191959,Other
191961,Other
192737,Other
192744,Other
192965,Other
193028,Other
193457,Other
193771,Other
194124,Other
194126,Other
194270,Other
194271,Other
194350,Other
19441,Other
1945,Other
194598,Other
194617,Other
194618,Other
19502,Other
19509,Other
195327,Other
195922,Other
19630,Other
19637,Other
19639,Other
19645,Other
19646,Other
196473,Other
196524,Other
196539,Other
196550,Other
196593,Other
19727,Other
19728,Other
19760,Other
19781,Other
19802,Other
624419,Other
19912,Other
19942,Other
19976,Other
624432,Other
19990,Other
20000,Other
200692,Other
2012,Other
201239,Other
201241,Other
201290,Other
2013,Other
201434,Other
201438,Other
201459,Other
201618,Other
201628,Other
201631,Other
201646,Other
201656,Other
201724,Other
201835,Other
201857,Other
201863,Other
201868,Other
201873,Other
20200,Other
202000,Other
202003,Other
202062,Other
20207,Other
202386,Other
202554,Other
20256,Other
202858,Other
203017,Other
203308,Other
2039,Other
204232,Other
204667,Other
204682,Other
204686,Other
204985,Other
205098,Other
205105,Other
20514,Other
20527,Other
2053,Other
20534,Other
20535,Other
205357,Other
205506,Other
205555,Other
205795,Other
205862,Other
2061,Other
206381,Other
20644,Other
207111,Other
207895,Other
207896,Other
208652,Other
208706,Other
208731,Other
208733,Other
208734,Other
208746,Other
208759,Other
208885,Other
208914,Other
208915,Other
208916,Other
208959,Other
20909,Other
209759,Other
209835,Other
209870,Other
209926,Other
209931,Other
210236,Other
210486,Other
21061,Other
210717,Other
210739,Other
21075,Other
210753,Other
210760,Other
210761,Other
210924,Other
211193,Other
211332,Other
211370,Other
211488,Other
211489,Other
211490,Other
211500,Other
21206,Other
212068,Other
212143,Other
212183,Other
212446,Other
212509,Other
21276,Other
21356,Other
213989,Other
21434,Other
215139,Other
215153,Other
21518,Other
215254,Other
21531,Other
21545,Other
21548,Other
215721,Other
21588,Other
215999,Other
216128,Other
216135,Other
216183,Other
21622,Other
21662,Other
21666,Other
21669,Other
21681,Other
21683,Other
21702,Other
21715,Other
21728,Other
217697,Other
625458,Other
218439,Other
218440,Other
218457,Other
218476,Other
2186,Other
21914,Other
219241,Other
219498,Other
21970,Other
219733,Other
219734,Other
219977,Other
220334,Other
220471,Other
220589,Other
22070,Other
625502,Other
221154,Other
221265,Other
221266,Other
221659,Other
221662,Other
22201,Other
22225,Other
22227,Other
222722,Other
22348,Other
224070,Other
625519,Other
224369,Other
225112,Other
22600,Other
625540,Other
226798,Other
22709,Other
227185,Other
227262,Other
227279,Other
228082,Other
228099,Other
228120,Other
228132,Other
228155,Other
228178,Other
22842,Other
22945,Other
22984,Other
22994,Other
230683,Other
23159,Other
625592,Other
231660,Other
23173,Other
231984,Other
231986,Other
232002,Other
23297,Other
23345,Other
233872,Other
233898,Other
23416,Other
23418,Other
234214,Other
234486,Other
234669,Other
234714,Other
23477,Other
23615,Other
236580,Other
236613,Other
236620,Other
236657,Other
23676,Other
237020,Other
237068,Other
237106,Other
237343,Other
237538,Other
625801,Other
23766,Other
237671,Other
237677,Other
238159,Other
238181,Other
238187,Other
23833,Other
2384,Other
23856,Other
23863,Other
23904,Other
239072,Other
23925,Other
239272,Other
239273,Other
239336,Other
23936,Other
239375,Other
239400,Other
239724,Other
239749,Other
23994,Other
24030,Other
24037,Other
240386,Other
240419,Other
24047,Other
240529,Other
240533,Other
240553,Other
240579,Other
240755,Other
24076,Other
240800,Other
24113,Other
626106,Other
241494,Other
241509,Other
24189,Other
242557,Other
243022,Other
243023,Other
243046,Other
243115,Other
243928,Other
243929,Other
243930,Other
244404,Other
244425,Other
244426,Other
244697,Other
244708,Other
244714,Other
24500,Other
245006,Other
245341,Other
245398,Other
245426,Other
245432,Other
245456,Other
626306,Other
246012,Other
246014,Other
246112,Other
246129,Other
626364,Other
246399,Other
246406,Other
246407,Other
24692,Other
246968,Other
246981,Other
247022,Other
247562,Other
24799,Other
248040,Other
24817,Other
24818,Other
24819,Other
248436,Other
248605,Other
24871,Other
24913,Other
249278,Other
626433,Other
249911,Other
249956,Other
249991,Other
626522,Other
249995,Other
25028,Other
250293,Other
250427,Other
250682,Other
250684,Other
250686,Other
251190,Other
251198,Other
251219,Other
251534,Other
626628,Other
251667,Other
251668,Other
251677,Other
251682,Other
251699,Other
251757,Other
251805,Other
251819,Other
251820,Other
252188,Other
252628,Other
252816,Other
252844,Other
252898,Other
252926,Other
252940,Other
253272,Other
253995,Other
25434,Other
25454,Other
25463,Other
254665,Other
254677,Other
254681,Other
255025,Other
255088,Other
255104,Other
255105,Other
255108,Other
626826,Other
255111,Other
255523,Other
255917,Other
255980,Other
256420,Other
256438,Other
626875,Other
256442,Other
626877,Other
626878,Other
25703,Other
257450,Other
257473,Other
258168,Other
25818,Other
25830,Other
25846,Other
25861,Other
258625,Other
258812,Other
259272,Other
259726,Other
259968,Other
259969,Other
260179,Other
26037,Other
2604,Other
26040,Other
26045,Other
260594,Other
260610,Other
260642,Other
26074,Other
26081,Other
260922,Other
261045,Other
26113,Other
261726,Other
26258,Other
2626,Other
627371,Other
26273,Other
263434,Other
263601,Other
263625,Other
263626,Other
263637,Other
263663,Other
264045,Other
264054,Other
264077,Other
627455,Other
26427,Other
264497,Other
264713,Other
264878,Other
627506,Other
264938,Other
265203,Other
265204,Other
265211,Other
26540,Other
265450,Other
265459,Other
265460,Other
265473,Other
265875,Other
265959,Other
266032,Other
627555,Other
266047,Other
266068,Other
266186,Other
266210,Other
26647,Other
266491,Other
266494,Other
266743,Other
266748,Other
266763,Other
26692,Other
26697,Other
267033,Other
267213,Other
267229,Other
267239,Other
267319,Other
267461,Other
627677,Other
267589,Other
267694,Other
267707,Other
267709,Other
267712,Other
26821,Other
268222,Other
268226,Other
268239,Other
627731,Other
268251,Other
268617,Other
268665,Other
268690,Other
268695,Other
268708,Other
268804,Other
268907,Other
268925,Other
268965,Other
268986,Other
268993,Other
269121,Other
269142,Other
269146,Other
627774,Other
269149,Other
269189,Other
269191,Other
269192,Other
269207,Other
269210,Other
26933,Other
269599,Other
269719,Other
269720,Other
269721,Other
269753,Other
269754,Other
269756,Other
269757,Other
269760,Other
627973,Other
270046,Other
270057,Other
27034,Other
270693,Other
270718,Other
270737,Other
270738,Other
270904,Other
270919,Other
27102,Other
27103,Other
271271,Other
271278,Other
627990,Other
271952,Other
271967,Other
272346,Other
2724,Other
272671,Other
273432,Other
273808,Other
273829,Other
27445,Other
274539,Other
274544,Other
274547,Other
274548,Other
274551,Other
274553,Other
274554,Other
274555,Other
274556,Other
274557,Other
274893,Other
27515,Other
275428,Other
2755,Other
275647,Other
275656,Other
275890,Other
275971,Other
27604,Other
27607,Other
276296,Other
276299,Other
276371,Other
276376,Other
628445,Other
628497,Other
277181,Other
277184,Other
277293,Other
278214,Other
278467,Other
2785,Other
278571,Other
278619,Other
278631,Other
278632,Other
279503,Other
628562,Other
28002,Other
280074,Other
280414,Other
280471,Other
2805,Other
62857,Other
28081,Other
280893,Other
281245,Other
281272,Other
281279,Other
281300,Other
281383,Other
628577,Other
281613,Other
281617,Other
281625,Other
281668,Other
281693,Other
281816,Other
281817,Other
281818,Other
281929,Other
282150,Other
282159,Other
282173,Other
282752,Other
282880,Other
282885,Other
2829,Other
283162,Other
283168,Other
283440,Other
283445,Other
28365,Other
28408,Other
28430,Other
284356,Other
284437,Other
284682,Other
284751,Other
285109,Other
285116,Other
285166,Other
285223,Other
285233,Other
28527,Other
285658,Other
28566,Other
28567,Other
28568,Other
285689,Other
28569,Other
285705,Other
285706,Other
28608,Other
286122,Other
286136,Other
286161,Other
286193,Other
286628,Other
287069,Other
287450,Other
628865,Other
287513,Other
289074,Other
289098,Other
289117,Other
289487,Other
289491,Other
289517,Other
289637,Other
289645,Other
289900,Other
289901,Other
289922,Other
290069,Other
29013,Other
290136,Other
29018,Other
290193,Other
290433,Other
290437,Other
290494,Other
290497,Other
290511,Other
290555,Other
290806,Other
290813,Other
290977,Other
291049,Other
291056,Other
291094,Other
29117,Other
291308,Other
291312,Other
291317,Other
291329,Other
291330,Other
291534,Other
291643,Other
29182,Other
291925,Other
291926,Other
291927,Other
292147,Other
292206,Other
292222,Other
292256,Other
29228,Other
292463,Other
292567,Other
292596,Other
292663,Other
292684,Other
292685,Other
292816,Other
292817,Other
292928,Other
293015,Other
293046,Other
293061,Other
293074,Other
293100,Other
293161,Other
293856,Other
293895,Other
294126,Other
294149,Other
29422,Other
29424,Other
294244,Other
29443,Other
294526,Other
294530,Other
294577,Other
294580,Other
29459,Other
294600,Other
294601,Other
294608,Other
294712,Other
294734,Other
294814,Other
294846,Other
294858,Other
294921,Other
294961,Other
294979,Other
294980,Other
295,Other
295084,Other
295085,Other
295272,Other
295391,Other
295425,Other
295426,Other
295427,Other
295466,Other
295473,Other
629868,Other
629870,Other
629872,Other
295505,Other
295563,Other
295565,Other
295566,Other
295633,Other
295641,Other
295642,Other
295661,Other
29603,Other
29604,Other
29606,Other
29630,Other
296300,Other
296301,Other
29638,Other
630124,Other
296964,Other
297093,Other
297353,Other
297360,Other
297361,Other
297366,Other
298197,Other
298223,Other
298276,Other
298509,Other
29865,Other
298823,Other
299117,Other
299130,Other
299209,Other
299514,Other
299545,Other
299587,Other
299863,Other
299878,Other
299879,Other
299922,Other
299933,Other
299934,Other
299936,Other
300288,Other
300289,Other
30033,Other
30083,Other
301189,Other
301457,Other
301460,Other
301477,Other
301480,Other
630511,Other
30198,Other
302035,Other
302042,Other
302286,Other
302288,Other
302289,Other
302325,Other
302358,Other
302584,Other
302600,Other
302867,Other
302979,Other
630670,Other
303289,Other
303530,Other
303534,Other
303607,Other
303751,Other
303769,Other
630696,Other
303861,Other
303870,Other
303872,Other
3039,Other
30417,Other
304393,Other
304421,Other
304425,Other
304426,Other
304610,Other
304636,Other
304940,Other
305222,Other
630734,Other
305329,Other
305352,Other
305458,Other
305489,Other
3055,Other
305530,Other
305761,Other
305762,Other
305767,Other
305768,Other
305780,Other
305782,Other
305783,Other
305784,Other
305787,Other
305799,Other
305802,Other
305805,Other
305819,Other
305884,Other
305978,Other
3060,Other
3061,Other
306107,Other
3062,Other
306203,Other
306365,Other
30637,Other
306388,Other
306393,Other
306455,Other
30652,Other
30656,Other
30659,Other
306711,Other
306736,Other
306752,Other
306822,Other
306864,Other
306911,Other
306951,Other
306960,Other
30706,Other
30712,Other
30722,Other
307241,Other
3073,Other
3074,Other
307500,Other
3077,Other
307981,Other
30799,Other
307990,Other
3080,Other
3081,Other
30813,Other
3082,Other
3083,Other
308606,Other
30863,Other
308787,Other
631359,Other
308819,Other
308846,Other
631366,Other
308849,Other
308879,Other
308881,Other
3090,Other
3091,Other
30915,Other
30916,Other
3093,Other
30930,Other
3094,Other
309401,Other
309451,Other
309455,Other
309697,Other
30979,Other
309883,Other
309895,Other
309909,Other
309962,Other
310326,Other
310340,Other
310342,Other
310365,Other
310547,Other
310551,Other
31059,Other
310618,Other
311046,Other
311053,Other
311068,Other
311152,Other
311153,Other
311165,Other
311432,Other
311725,Other
311727,Other
311978,Other
312033,Other
312439,Other
312621,Other
312825,Other
631570,Other
313157,Other
313158,Other
313159,Other
313430,Other
313432,Other
